INFO  - 2015-01-24 00:13:00.517; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-01-24 00:13:01.184; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/nandu/Documents/django/mysite/solr-4.10.2/example/contexts at interval 0
INFO  - 2015-01-24 00:13:01.253; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/nandu/Documents/django/mysite/solr-4.10.2/example/contexts/solr-jetty-context.xml
INFO  - 2015-01-24 00:13:01.475; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/nandu/Documents/django/mysite/solr-4.10.2/example/webapps/solr.war!/ to /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr-webapp/webapp
INFO  - 2015-01-24 00:13:18.529; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-01-24 00:13:18.928; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-01-24 00:13:19.038; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-01-24 00:13:19.039; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-01-24 00:13:19.045; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-01-24 00:13:19.462; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/solr.xml
INFO  - 2015-01-24 00:13:21.403; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr
INFO  - 2015-01-24 00:13:21.465; org.apache.solr.core.CoreContainer; New CoreContainer 1639648448
INFO  - 2015-01-24 00:13:21.465; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-01-24 00:13:21.515; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-01-24 00:13:21.576; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-01-24 00:13:21.630; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-01-24 00:13:21.633; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-01-24 00:13:21.634; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-01-24 00:13:21.634; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-01-24 00:13:21.634; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-01-24 00:13:21.635; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-01-24 00:13:21.635; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-01-24 00:13:24.177; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2015-01-24 00:13:24.180; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-01-24 00:13:24.181; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-01-24 00:13:24.183; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-01-24 00:13:24.598; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr
INFO  - 2015-01-24 00:13:24.688; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/
INFO  - 2015-01-24 00:13:24.689; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-01-24 00:13:24.734; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/nandu/Documents/django/mysite/solr-4.10.2/example/solr/collection1/'
INFO  - 2015-01-24 00:13:24.962; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-01-24 00:13:24.989; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-01-24 00:13:24.989; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-01-24 00:13:24.990; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-01-24 00:13:24.990; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-01-24 00:13:24.990; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-01-24 00:13:24.991; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-01-24 00:13:24.991; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-01-24 00:13:24.991; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-01-24 00:13:24.991; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-01-24 00:13:24.992; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-01-24 00:13:24.992; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-01-24 00:13:25.045; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nandu/Documents/django/mysite/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
